field,classification,recommendation,sample_nonnull_pct,sample_unique_values,sample_bytes_100_trades,prod_read_count,prod_write_count,read_files,write_files,string_ref_files
activeWinningSetupIds,ALIAS,Same array as longWinningSetupMatchedIds; keep one canonical field.,100.0,15,7755,0,1,,src/filters/evaluateLongWinningSetupMatches.js,src/export/longTradeExportSchema.js | src/filters/longFilterRegistry.js | src/migrations/migrateLongTradeRecord.js
longDataQualityTierV2,ALIAS,Currently mirrors longFilterDataQuality; keep only if tier semantics diverge.,100.0,1,3600,0,1,,src/research/longEvidenceSemantics.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
longAdaptiveAesRequiredScore,ALIAS,Same as absoluteEntryRequiredScore; remove compatibility alias after migration.,100.0,2,3500,2,2,src/entryPolicy/entryPolicy.flatten.js | src/entryPolicy/evaluateEntryPolicyLogOnly.js,src/entryPolicy/entryPolicy.flatten.js,src/entryPolicy/entryPolicy.flatten.js | src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
longAdaptiveAesWouldPass,ALIAS,Same as absoluteEntryWouldPassAdaptive; remove compatibility alias after migration.,100.0,2,3394,1,2,src/entryPolicy/entryPolicy.flatten.js,src/entryPolicy/entryPolicy.flatten.js,src/entryPolicy/entryPolicy.flatten.js | src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
longAdaptiveAesBaseScore,ALIAS,Same as absoluteEntryBaseScore; remove compatibility alias after migration.,100.0,52,3077,1,2,src/entryPolicy/entryPolicy.flatten.js,src/entryPolicy/entryPolicy.flatten.js,src/entryPolicy/entryPolicy.flatten.js | src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
rawPositiveComboCount,ALIAS,Same as longCombosPositiveCount; keep one.,100.0,6,2700,0,1,,src/research/longEvidenceSemantics.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
longAdaptiveAesScore,ALIAS,Same as absoluteEntryAdaptiveScore; remove compatibility alias after migration.,100.0,44,2663,2,2,src/entryPolicy/entryPolicy.flatten.js | src/entryPolicy/evaluateEntryPolicyLogOnly.js,src/entryPolicy/entryPolicy.flatten.js,src/entryPolicy/entryPolicy.flatten.js | src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
longAdaptiveAesGap,ALIAS,Same as absoluteEntryAesGap; remove compatibility alias after migration.,100.0,50,2588,1,2,src/entryPolicy/entryPolicy.flatten.js,src/entryPolicy/entryPolicy.flatten.js,src/entryPolicy/entryPolicy.flatten.js | src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
rawAntiComboCount,ALIAS,Same as longCombosAntiCount; keep one.,100.0,3,2300,0,1,,src/research/longEvidenceSemantics.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
longAesV2MinusV1,ALIAS,Same as longAesV2DeltaVsV1; keep one.,100.0,25,2248,0,1,,src/research/buildLongEntryResearchSnapshot.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
batchId,ALIAS_REVIEW,Currently equals autoRunId; keep batchId as canonical export key and keep autoRunId only for runtime provenance.,100.0,1,3900,5,1,src/export/longTradeExportSchema.js | src/scoring/postFee10/postFee10.analytics.js | src/scoring/postFee10/postFee10.rankings.js | src/scoring/postFee10/postFee10.scorer.js,src/scoring/postFee10/postFee10.scorer.js,src/export/longTradeExportSchema.js | src/scoring/postFee10/postFee10.rankings.js
floorExitEnforced,AMBIGUOUS_LEGACY,Misleading legacy boolean; remove from new schemas.,100.0,2,2668,1,2,src/filters/filterAnalytics.js,src/exitProfiles/dynamicExitProfiles.js | src/fees/profitLockTelemetry.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
longAesV2ComponentWeights,BATCH_MANIFEST,Static model weights repeated on every trade; move to batch manifest/config registry.,100.0,1,21900,0,1,,src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.v2Shadow.js,src/export/longTradeExportSchema.js
priceStreamSchemaVersion,BATCH_MANIFEST,Move stream version to batch/run manifest unless it changes mid-run.,100.0,1,8300,2,6,src/app/LongLabApp.jsx | src/migrations/migrateLongTradeRecord.js,src/app/LongLabApp.jsx | src/lifecycle/positionPriceWatchdog.js | src/shadowLong/binancePriceStream.js,src/export/longTradeExportSchema.js
comboRegistrySchemaVersion,BATCH_MANIFEST,Move registry version to batch manifest.,100.0,1,7000,0,2,,src/research/buildLongEntryResearchSnapshot.js | src/research/longResearchSchemaVersions.js,src/export/longTradeExportSchema.js
